method_category,method,access_regime,uses_raw_values,uses_pm_reports,uses_pm_channel,uses_temporal_model,diagnostic_outputs,privacy_comparable
channel_ablation,privsaf_hmm_wrong_epsilon_double,pm_ldp_reports,False,True,True,True,True,True
channel_ablation,privsaf_hmm_wrong_epsilon_half,pm_ldp_reports,False,True,True,True,True,True
channel_aware_baseline,ldp_distribution_surprise,pm_ldp_reports,False,True,True,False,False,True
channel_aware_baseline,ldp_postmean_cusum,pm_ldp_reports,False,True,True,True,False,True
channel_aware_baseline,ldp_postmean_hampel,pm_ldp_reports,False,True,True,False,False,True
channel_aware_baseline,ldp_postmean_rolling_median,pm_ldp_reports,False,True,True,True,False,True
channel_aware_baseline,ldp_window_glr,pm_ldp_reports,False,True,True,True,True,True
channel_aware_baseline,ldp_window_kl,pm_ldp_reports,False,True,True,True,False,True
privacy_aware,privsaf_hmm,pm_ldp_reports,False,True,True,True,True,True
privacy_aware,privsaf_mixture,pm_ldp_reports,False,True,True,False,True,True
privatized_domain,privatized_bocpd,pm_ldp_reports,False,True,False,True,False,True
privatized_domain,privatized_cusum,pm_ldp_reports,False,True,False,True,False,True
privatized_domain,privatized_rolling_median,pm_ldp_reports,False,True,False,True,False,True
privatized_domain,privatized_zscore,pm_ldp_reports,False,True,False,False,False,True
raw_domain_upper_bound,raw_bocpd,raw_upper_bound,True,False,False,True,False,False
raw_domain_upper_bound,raw_cusum,raw_upper_bound,True,False,False,True,False,False
raw_domain_upper_bound,raw_hampel,raw_upper_bound,True,False,False,False,False,False
raw_domain_upper_bound,raw_nonprivate_hmm,raw_upper_bound,True,False,False,True,False,False
raw_domain_upper_bound,raw_rolling_median,raw_upper_bound,True,False,False,True,False,False
