panel,scale,scale_label,rows,elapsed_sec,throughput_rows_per_sec,memory_mb,active_groups
materialized_view,50000,rows,50000,0.046896299987565726,1066182.193760642,,
materialized_view,100000,rows,100000,0.10516000000643544,950931.9132168157,,
materialized_view,200000,rows,200000,0.23342410000623204,856809.5582018323,,
materialized_view,400000,rows,400000,0.4160359999805223,961455.2587245501,,
multi_device_groupby,100,devices,3200,0.0001716000260785222,18648015.814028587,0.0064,100.0
multi_device_groupby,1000,devices,32000,0.0012963000044692308,24685643.670195296,0.064,1000.0
multi_device_groupby,5000,devices,160000,0.006447100022342056,24817359.65713719,0.32,5000.0
multi_device_groupby,10000,devices,320000,0.01756140001816675,18221781.843643982,0.64,10000.0
stream_operator,100,devices,6400,0.001816300005884841,3523646.963202058,0.0128,
stream_operator,500,devices,32000,0.007691900013014674,4160220.4846469774,0.064,
stream_operator,1000,devices,64000,0.013401900010649115,4775442.284239233,0.128,
stream_operator,2500,devices,160000,0.03672460000962019,4356752.6932379715,0.32,
