design,query_name,query_family,reps,input_rows,output_rows,p50_elapsed_ms,mean_elapsed_ms,min_elapsed_ms,max_elapsed_ms,p50_throughput_rows_per_sec
heap_base,candidate_likelihood_topk,query_processing,3,200000,96,3822.1204779983964,3822.717320663893,3814.5136599923717,3831.517824000912,52326.974293792504
heap_base,privacy_budget_accounting,privacy_accounting,3,200000,1,86.25161099189427,86.54055532921727,86.19531498698052,87.17474000877701,2318797.2688277736
heap_base,provenance_event_drilldown,provenance,3,200000,100,40.58159999840427,40.67625366830422,40.477913003996946,40.96924800251145,4928341.908842044
heap_base,uncertainty_privacy_dashboard,end_to_end_analytics,3,200000,1,91.35200000309851,91.29728466602198,90.93066099740099,91.60919299756642,2189333.5667879884
incremental_mv,candidate_likelihood_topk,query_processing,3,200000,96,1.5210470010060817,1.501953001328123,1.4516890078084543,1.5331229951698333,131488376.01186022
incremental_mv,privacy_budget_accounting,privacy_accounting,3,200000,1,0.10322799789719284,0.10524133297925194,0.10069301060866565,0.11180299043189734,1937458868.466912
incremental_mv,provenance_event_drilldown,provenance,3,200000,100,40.3314790019067,40.3283440003482,40.28059700794984,40.372955991188064,4958905.672428845
incremental_mv,uncertainty_privacy_dashboard,end_to_end_analytics,3,200000,1,1.670539000770077,1.7107306678857033,1.65956599812489,1.802087004762143,119721838.22574927
indexed_base,candidate_likelihood_topk,query_processing,3,200000,96,3768.4359150007367,3775.3609599991855,3762.1761089976644,3795.470855999156,53072.41638470609
indexed_base,privacy_budget_accounting,privacy_accounting,3,200000,1,94.48165399953723,94.7930779948365,94.10392699646764,95.79365298850462,2116813.069349734
indexed_base,provenance_event_drilldown,provenance,3,200000,100,111.22507500112988,111.80320233203626,110.98341799515765,113.20111399982125,1798155.6766580585
indexed_base,uncertainty_privacy_dashboard,end_to_end_analytics,3,200000,1,170.67944500013255,170.9714613292211,170.62198999337852,171.61294899415225,1171787.2647162913
materialized_batch,candidate_likelihood_topk,query_processing,3,200000,96,0.06018200656399131,0.06032566792176416,0.05322799552232027,0.06756700167898089,3323252437.376622
materialized_batch,privacy_budget_accounting,privacy_accounting,3,200000,1,9.329363994766027,9.365726669784635,9.283147010137327,9.484669004450552,21437688.5832951
materialized_batch,provenance_event_drilldown,provenance,3,200000,100,112.40666000230704,112.24344766621168,111.25039799662773,113.07328499970026,1779254.0050197665
materialized_batch,uncertainty_privacy_dashboard,end_to_end_analytics,3,200000,1,1.3369030057219788,1.365625668161859,1.3317139964783564,1.428260002285242,149599484.13908482
