scenario,metric,value,unit,status,note
concurrent_ingest,writer_clients,3,clients,pass,
concurrent_ingest,reader_clients,2,clients,pass,
concurrent_ingest,inserted_rows,12000,rows,pass,
concurrent_ingest,wall_throughput,318565.9098860498,rows_per_sec,pass,
concurrent_ingest,writer_busy_errors,0,errors,pass,
concurrent_ingest,reader_errors,0,errors,pass,
concurrent_ingest,reader_queries,6,queries,pass,
concurrent_ingest,reader_p50_latency,0.8236434805439785,ms,pass,
concurrent_ingest,reader_max_latency,3.0325159896165133,ms,pass,
ingestion_cleaning_analytics,cleaning_records,12000,rows,pass,
ingestion_cleaning_analytics,repair_analytics_groups,300,groups,pass,
recovery_restart,reopen_time,0.000110191002022475,sec,pass,
recovery_restart,integrity_check,ok,status,pass,
recovery_restart,integrity_check_time,0.01471985800890252,sec,pass,
recovery_restart,report_count_after_reopen,12000,rows,pass,
recovery_restart,dashboard_rows_after_reopen,50,rows,pass,
recovery_restart,dashboard_query_time,9.75379953160882e-05,sec,pass,
recovery_restart,wal_checkpoint_time,6.439018761739135e-06,sec,pass,"(0, 0, 0)"
storage_footprint,main_db_bytes,3051520,bytes,pass,
storage_footprint,wal_bytes_before_checkpoint,0,bytes,pass,
storage_footprint,shm_bytes_before_checkpoint,0,bytes,pass,
storage_footprint,wal_bytes_after_checkpoint,0,bytes,pass,
sqlite_page_limit_pressure,inserted_before_limit,24500,rows,pass,database or disk is full
sqlite_page_limit_pressure,page_count,379,pages,pass,
sqlite_page_limit_pressure,max_page_count,384,pages,pass,
sqlite_page_limit_pressure,integrity_after_limit,ok,status,pass,
sqlite_page_limit_pressure,db_bytes_at_limit,1552384,bytes,pass,
