source,public_record,available_format,realism,label_type,stuck_relevance,fit_for_current_scalar_pm_ldp_ledger,status
MiFaD microphone fault dataset,https://zenodo.org/records/17641389,17.16GB Zenodo 7z archive; GitLab code repository,real induced embedded-sensor faults,normal clipping spike stuck classes,real induced stuck class,raw audio-window corpus rather than scalar telemetry,audited and cited; not incorporated into scalar tables
Scientific Data AHU fault datasets,https://doi.org/10.1038/s41597-025-06179-y and https://doi.org/10.6084/m9.figshare.29297999,figshare CSV files with one fault type/intensity per file,real building plus HIL plus simulated AHU fault scenarios,component and sensor fault labels,stuck/leaking dampers and valves plus sensor bias; not sensor stuck-at,semireal scalar multivariate telemetry but cross-domain to PM-LDP scalar stuck-at,audited and cited as semireal system-level fault-label source
Automotive HIL critical faults dataset,https://doi.org/10.1038/s41598-025-21416-5,data available on request due restrictions,real-time HIL/virtual-test-drive fault injection,sensor-related APP/RPM fault labels,explicit stuck-at sensor fault type plus gain noise drift delay,high-rate scalar time series but restricted access and automotive validation domain,audited and cited; not incorporated into reproducible tables
I-ORS sea level height QC dataset,https://doi.org/10.5194/os-21-2085-2025 and https://doi.org/10.22808/DATA-2024-8,KIOST NetCDF bitstream for 10 min SLH time series downloaded locally,real radar rangefinder observations from 2003-2022 with QC flags,good manual range spike stuck and extreme-event QC labels,real stuck errors in a deployed sensor stream plus instrument relocation/replacement context,public real scalar stuck-QC source incorporated into a reproducible PM-LDP ledger,downloaded verified and run as 336-row I-ORS stuck-QC PM-LDP panel
Prepared WSN stuck-at labels,https://github.com/tmoulahi/Dataset-for-WSN-fault-detection,downloadable RAR archive with Excel observation and label files,real TelosB base measurements with injected sensor faults,binary normal/fault labels for stuck-at files,public stuck-at labels at 10-50 percent rates,row-level multivariate labels rather than scalar maintenance log,downloaded extracted and run as WSN PM-LDP stress panel
LWSNDR wireless sensor labels,https://home.uncg.edu/cmp/downloads/lwsndr.html,downloadable labelled temperature/humidity readings,real TelosB wireless sensor deployment with introduced hot-water event,normal/event labels,no stuck-at label,scalar telemetry but event anomaly not stuck-at,not used for stuck-at claims
Hydraulic machinery PS1 sensor FDD,https://www.mdpi.com/1424-8220/21/2/433,public hydraulic test-rig base dataset used with paper-injected PS1 sensor windows,real hydraulic rig base data with injected sensor faults,"injected constant zero, high, and low stuck-at windows",model-matched scalar stuck-at but injected rather than audited deployment fault labels,could be adapted as another semi-real injection panel but would not solve real-fault ground truth gap,audited from source paper; not incorporated because it would duplicate controlled injection evidence rather than add real stuck-at labels
HadISD station straight-string QC flags,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/ and https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_7.html and https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/station_download_0.html,public per-station NetCDF4 .nc.gz files plus tests_codes.txt and all_fails_summary text files; local audited station 702606-96401 plus compact page-7 and page-0 screens,real deployed sub-daily weather station observations with official station-level QC flags,quality_control_flags for TSS DSS WSS PSS and RSS straight-string repeated-value checks,direct scalar repeated-value and flatline QC semantics; audited station has TSS=13 DSS=13 RSS=140 positive flags; compact screen has 8 support-sufficient station-variable cases; page-7 and page-0 screens have 58 TSS/DSS eligible cases and 0 PSS eligible cases,single-station RSS panel selects PrivSAF-HMM with mean AUPRC 0.8958; compact screen selects HMM on 2/2 RSS and 2/3 WSS; page-0 nonwind panel runs 38 TSS/DSS cases where HMM case-mean AUPRC is 0.0127 for TSS and 0.0080 for DSS,incorporated as a 54-row single-station PM-LDP panel a 144-row multi-station compact panel a 400-row page-7 screen a 432-row page-7 nonwind PM-LDP panel a 360-row page-0 screen and a 684-row page-0 nonwind PM-LDP panel via scripts/run_hadisd_streak_pmldp_panel.py and scripts/run_hadisd_multistation_streak_pmldp_panel.py; strongest real repeated-value AUPRC layer
PROMICE/GC-Net AWS manual QA/QC flag intervals,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues and https://thredds.geus.dk/thredds/catalog/aws/l2stations/netcdf/hour/catalog.html and https://essd.copernicus.org/articles/18/2829/2026/,public GitHub flags CSV files with station t0 t1 variable flag comment and issue links; 63 station files audited,real deployed Greenland automatic weather station observations maintained by data producers,manual interval-level QA/QC flags and issue-linked comments,20 active scalar intervals explicitly describe constant flat repeated-value or too-many-zero behavior across temperature wind speed wind direction and humidity; 46 more rows describe sensor failure or suspicious bad-data intervals,strong candidate real flatline/stuck label source but no PM-LDP performance panel yet because a public value product preserving flagged observations has not been verified,audited via scripts/audit_promice_manual_flatline_flags.py; results/promice_manual_flatline_flag_inventory.csv and summary files generated; next gate is L1/L0/raw or pypromice value preservation during flagged intervals
NOAA CO-OPS verified six-minute water-level flat flags,https://opendap.co-ops.nos.noaa.gov/erddap/info/IOOS_SixMin_Verified_Water_Level/index.html and https://api.tidesandcurrents.noaa.gov/api/prod/responseHelp.html and https://tidesandcurrents.noaa.gov/publications/NOAA_Technical_Report_NOS_CO-OPS_030_QC_requirements_doc%28revised%29-11102004.pdf,public verified six-minute ERDDAP rows with WL_VALUE and official F/R/T/I quality flags plus preliminary API audit context,real deployed NOAA tide gauge and water-level station observations,verified flat tolerance flag F indicates flat-tolerance limit exceeded; technical report defines flat flag from identical value relative to two values before and after,"direct real flatline QC semantics with 4687 public numeric F=1 rows across 108 station-months; frozen all-eligible protocol runs 40 station-months, 291283 total rows, and 4556 official flat positives",fit as a public value+label PM-LDP benchmark; raw flatness upper bound reaches case-mean AUPRC 0.874 and the epsilon=2 full-panel KRR-LDP run selects PrivSAF range-HMM r1 with AUROC 0.539 and AUPRC 0.0246 above report-frequency and GLR baselines,"audited via scripts/screen_coops_verified_flat_flags.py, scripts/run_coops_verified_flat_full_protocol.py, and scripts/summarize_coops_full_protocol_tiers.py; generated coops_verified_flat_flag_* and coops_verified_flat_full_protocol_* outputs; preliminary recent API audit remains as source-discovery context"
